data_month,series_id,data_series,borrower_type,purpose,commitments
1975-10-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.087223
1975-11-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.0837
1975-12-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.07574
1976-01-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.064722
1976-02-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.070458
1976-03-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.085936
1976-04-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.069159
1976-05-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.082583
1976-06-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.079312
1976-07-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.074851
1976-08-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.08324
1976-09-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.08957
1976-10-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.082308
1976-11-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.085208
1976-12-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.078222
1977-01-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.061685
1977-02-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.068755
1977-03-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.081201
1977-04-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.063476
1977-05-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.077061
1977-06-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.08182
1977-07-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.077665
1977-08-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.088168
1977-09-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.085391
1977-10-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.086687
1977-11-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.090503
1977-12-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.066194
1978-01-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.06748
1978-02-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.067208
1978-03-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.074976
1978-04-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.073204
1978-05-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.086571
1978-06-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.079678
1978-07-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.083618
1978-08-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.091024
1978-09-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.089388
1978-10-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.090791
1978-11-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.100877
1978-12-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.081837
1979-01-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.094404
1979-02-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.088672
1979-03-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.09546
1979-04-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.083201
1979-05-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.109524
1979-06-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.106692
1979-07-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.107758
1979-08-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.112001
1979-09-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.100891
1979-10-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.113782
1979-11-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.101623
1979-12-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.081878
1980-01-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.096592
1980-02-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.097351
1980-03-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.101111
1980-04-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.110177
1980-05-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.113996
1980-06-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.104389
